"mfcomb1"	"mfcomb2"
"m2_f2"	"m1_f1"
"m3_f2"	"m1_f1"
"m4_f2"	"m1_f1"
"m2_f3"	"m1_f1"
"m3_f3"	"m1_f1"
"m4_f3"	"m1_f1"
"m2_f4"	"m1_f1"
"m3_f4"	"m1_f1"
"m4_f4"	"m1_f1"
"m1_f2"	"m2_f1"
"m3_f2"	"m2_f1"
"m4_f2"	"m2_f1"
"m1_f3"	"m2_f1"
"m3_f3"	"m2_f1"
"m4_f3"	"m2_f1"
"m1_f4"	"m2_f1"
"m3_f4"	"m2_f1"
"m4_f4"	"m2_f1"
"m1_f2"	"m3_f1"
"m2_f2"	"m3_f1"
"m4_f2"	"m3_f1"
"m1_f3"	"m3_f1"
"m2_f3"	"m3_f1"
"m4_f3"	"m3_f1"
"m1_f4"	"m3_f1"
"m2_f4"	"m3_f1"
"m4_f4"	"m3_f1"
"m1_f2"	"m4_f1"
"m2_f2"	"m4_f1"
"m3_f2"	"m4_f1"
"m1_f3"	"m4_f1"
"m2_f3"	"m4_f1"
"m3_f3"	"m4_f1"
"m1_f4"	"m4_f1"
"m2_f4"	"m4_f1"
"m3_f4"	"m4_f1"
"m2_f3"	"m1_f2"
"m3_f3"	"m1_f2"
"m4_f3"	"m1_f2"
"m2_f4"	"m1_f2"
"m3_f4"	"m1_f2"
"m4_f4"	"m1_f2"
"m1_f3"	"m2_f2"
"m3_f3"	"m2_f2"
"m4_f3"	"m2_f2"
"m1_f4"	"m2_f2"
"m3_f4"	"m2_f2"
"m4_f4"	"m2_f2"
"m1_f3"	"m3_f2"
"m2_f3"	"m3_f2"
"m4_f3"	"m3_f2"
"m1_f4"	"m3_f2"
"m2_f4"	"m3_f2"
"m4_f4"	"m3_f2"
"m1_f3"	"m4_f2"
"m2_f3"	"m4_f2"
"m3_f3"	"m4_f2"
"m1_f4"	"m4_f2"
"m2_f4"	"m4_f2"
"m3_f4"	"m4_f2"
"m2_f4"	"m1_f3"
"m3_f4"	"m1_f3"
"m4_f4"	"m1_f3"
"m1_f4"	"m2_f3"
"m3_f4"	"m2_f3"
"m4_f4"	"m2_f3"
"m1_f4"	"m3_f3"
"m2_f4"	"m3_f3"
"m4_f4"	"m3_f3"
"m1_f4"	"m4_f3"
"m2_f4"	"m4_f3"
"m3_f4"	"m4_f3"
